Filename,Label,Error_Description,Audio_rms,Audio_zcr,Audio_ptp_amplitude,Audio_skewness,Audio_kurtosis,Audio_std,Audio_Spectral_Centroid,Audio_spectral_spread,Audio_spectral_entropy,Audio_spectral_flatness,Audio_top_peak_mean,Audio_stft_mean,Audio_stft_std,Audio_stft_max,Audio_stft_energy,Audio_wav_entropy,Audio_band_0_2000_energy,Audio_band_2000_5000_energy,Audio_band_5000_10000_energy,Audio_band_10000_20000_energy,Audio_peak_0_50_Hz,Audio_peak_50_100_Hz,Audio_peak_100_150_Hz,Audio_freq_peak_0_50_Hz,Audio_freq_peak_50_100_Hz,Audio_freq_peak_100_150_Hz,Audio_freq_peak_0_250_Hz,Audio_peak_0_250_Hz,Audio_skewness_fft,Audio_kurtosis_fft,Current_Mean,Voltage_Mean,Resistance_Mean,Power_Mean,Current_Std,Voltage_Std,Resistance_Std,Power_Std,Current_Ptp,Voltage_Ptp,Resistance_Ptp,Power_Ptp,Current_Max,Voltage_Max,Resistance_Max,Power_Max,Current_Skewness,Voltage_Skewness,Resistance_Skewness,Power_Skewness,Current_Kurtosis,Voltage_Kurtosis,Resistance_Kurtosis,Power_Kurtosis,Current_0_200_Mean,Voltage_0_200_Mean,Resistance_0_200_Mean,Power_0_200_Mean,Current_0_200_Std,Voltage_0_200_Std,Resistance_0_200_Std,Power_0_200_Std,Power_1000_2000_Mean,Power_1000_2000_Std,Power_2000_5000_Mean,Power_2000_5000_Std,Current_0_200_Skewness,Voltage_0_200_Skewness,Resistance_0_200_Skewness,Power_0_200_Skewness,Current_0_200_Kurtosis,Voltage_0_200_Kurtosis,Resistance_0_200_Kurtosis,Power_0_200_Kurtosis,Power_1000_2000_Skewness,Power_1000_2000_Kurtosis,Power_2000_5000_Skewness,Power_2000_5000_Kurtosis,Current_0_200_Ptp,Voltage_0_200_Ptp,Resistance_0_200_Ptp,Power_0_200_Ptp,Voltage_0_200_Max,Resistance_0_200_Max,Voltage_FFT_sum_area_0_200,Voltage_FFT_sum_area_1000_2000,Voltage_FFT_sum_area_2000_5000,Voltage_FFT_sum_area_3000_4000,Voltage_FFT_highest_amp_area_0_200,Voltage_FFT_highest_amp_area_1000_2000,Voltage_FFT_highest_amp_area_2000_5000,Voltage_FFT_highest_amp_area_3000_4000,Voltage_FFT_bandpower_area_0_200,Voltage_FFT_bandpower_area_1000_2000,Voltage_FFT_bandpower_area_2000_5000,Voltage_FFT_bandpower_area_3000_4000,Class
425.csv,niO,oil,9261.29566785775,0.0460791606310926,45779,-0.1251905435255974,-0.069191735125905,9261.291771184226,4008.1620501151774,4513.081611604494,11.927055029388264,0.3073094711665075,45385359.90343675,194.47946258880785,828.591753464446,20735.929796415705,18782618991.806293,0.5301217396307306,2.618759191256117e+16,1000667642294998.2,695798154573381.8,95253406788090.2,47568589.08051136,30449771.776018027,22433764.30946609,28.18776181341268,58.25470774771953,122.1469678581216,29.371387283236995,80302523.359137,2.121109589717461,5.397665059995614,235.4594135146621,27.24362728431789,0.0979515919267069,9530.38671036974,166.82773226443234,22.53693003364933,0.0915685951525616,8935.193201018687,475.6,56.7,0.4689317451314048,21405.942000000003,488.3,55.77,0.4235658914728682,21355.020000000004,-0.0475507845186612,-0.2010846682103463,1.506438998353525,0.0917511049941922,-1.8724801917604807,-1.841450408145909,2.0431657064100666,-1.8276123348715905,136.50903102422438,27.24629834254144,0.0980214462698755,146.09098512537187,70.06847257752798,22.533656850963208,0.0914839957156967,77.2925404078889,1594.7700065873355,490.134329567699,3734.2589951126224,1464.7506221835254,-0.4278356834190433,-0.2009939431413158,1.5117204907636492,-0.7582274163888066,-1.5979265067046946,-1.841554451954469,2.051654471323033,-1.3816016765909638,-0.3860957601021849,-1.848053365672821,-0.3219364769227486,-1.8776837087244724,187.3,55.77,0.4235658914728682,200.0,55.77,0.4235658914728682,129.74601085385905,53613.78600604355,178003.5846432299,9902.78555071846,10.058205007289237,7500.174164854303,13216.44121000016,340.7957112470945,417.13200000000006,107483445.71120004,644938751.2261001,929773.025,oil
376.csv,niO,Tilt,13142.840192977505,0.0231745136735269,46525,0.1060680654551183,-1.1783239482199768,13142.831521099144,3166.8555229886706,4300.344623045758,10.70891663606698,0.25179616345706,57944326.68602832,213.46951210944616,1223.0789559635075,22434.010441918406,27839334054.08577,0.1893070590994276,2.676025867896064e+16,258797862342916.62,127535233037990.05,18038820758627.44,43168801.3467736,57539831.74460165,8419863.252540335,29.771638003947,56.83676346208063,129.91260219904143,29.14012738853503,107214628.14798242,2.091281787235165,4.231885134541452,236.9304329189884,17.86195027861123,0.0625457462425422,6355.3448330475785,166.04717067534486,15.861825619836432,0.0519288519380139,6491.468979696333,451.6,44.87,0.2757928118393234,17424.43,462.4,43.94,0.2348837209302325,17336.461,-0.0688722186969949,0.0491595141705056,0.8979088345888352,0.3211968113086871,-1.8647708082618133,-1.7710249198210903,0.190849676170131,-1.7027278750705437,137.57008144020574,17.86593870552936,0.0626564280275973,144.43113780540077,69.89474727279337,15.857251773657827,0.0517675652059292,79.84938742434196,1591.782944920703,488.8554174409492,3441.8842599657096,1424.657209115982,-0.4655040499358002,0.0494398273018518,0.9137980868928096,-0.7714353689450973,-1.5591644013893549,-1.771174167739764,0.1949649074314687,-1.371364973257883,-0.37976370761975,-1.8500009376322493,0.0804166643822433,-1.8961453366565333,189.2,43.94,0.2348837209302325,200.0,43.94,0.2348837209302325,159.27745008681194,30299.18071150016,119128.7971405434,18927.831427424404,17.060691513136845,4348.700179968956,13775.558760692396,2193.0521715012574,722.6831999999999,37269291.38279999,475141873.9801,10418197.1542,tilt
406.csv,niO,Tilt,10630.770373605104,0.0397865114022319,45923,0.2616852384373687,-0.6309042831292659,10630.747897738189,3280.230364510399,4186.394137972662,11.009465271052932,0.2414513993166647,44073997.70498313,188.55604066250856,982.3073834379808,22612.70508966984,18843062469.294285,0.2669506554768793,1.897350373565691e+16,268375890338887.72,180909441882008.1,19050286823364.742,42680153.12573879,31661944.32522193,6946545.87846791,28.4651463690765,56.930292738153,124.21154779233382,29.241071428571427,78662512.35143876,1.825404622186372,4.039268724186846,235.3921080621145,19.09894277813231,0.0676747930166525,6823.739096787918,166.36484347387398,17.15312909885676,0.0513152599701814,7104.751468585697,450.7,46.04,0.3252783378627158,18131.387,461.9,45.26,0.2810160427807486,18050.263,-0.0555091879922486,0.0882789299192202,0.712011808349122,0.3373036757598829,-1.866318841362702,-1.7963723795469475,-0.1861464194110631,-1.747966618817169,136.7783663050415,19.10381620931717,0.0677682896366426,147.43851563497128,70.27791028791673,17.147613100675756,0.0511742492800959,75.41105357895314,1589.8625981706025,489.77681547836966,3417.33402744097,1419.973137298391,-0.449790524136813,0.0886037746427986,0.7251046035850862,-0.7681835163691957,-1.575437375134655,-1.796572783094057,-0.1866452748810929,-1.3509706112023387,-0.3698376501094121,-1.8585742953004327,0.1191215649120522,-1.8826088357160984,188.8,45.26,0.2810160427807486,200.0,45.26,0.2810160427807486,142.552516891182,29152.97106613957,120524.3284247894,14308.170279573444,18.04730487457575,4134.072380668819,18321.22431975168,694.0292435506929,736.7434,35081892.2824,616916674.3561002,2898422.2352000005,tilt
191.csv,niO,oil,9855.90717024716,0.0465818759936407,48632,-0.0486015501523989,-0.1959735317812914,9855.90549603599,4429.290237541027,4730.198358142372,12.064903315492224,0.3481439014189757,57453313.66196183,201.71465988893732,886.4528857974566,22181.7978434059,21110144306.1507,0.5565148664706903,2.8545776101936028e+16,1121584752426953.6,930676687041168.8,145348069692931.88,34193614.419407375,54168447.61557509,17222843.88006424,34.34022257551669,57.23370429252783,124.00635930047694,57.93991416309013,76781329.28685404,2.502942329528049,5.730715760668936,235.27874149659863,30.04334396258503,0.1116549608822384,10417.505605017006,166.12752646303002,23.55757344320257,0.1006637250133325,9541.794946482614,471.2,57.72,0.840301246118482,23223.974,482.4,56.94,0.7870165745856352,23144.550000000003,-0.0517568625327021,-0.2729651830741094,1.7005658122043483,0.076555900485703,-1.87197492726758,-1.758731092486714,4.081528130196507,-1.8105666000138232,136.7623724489796,30.04538477891156,0.1117173212429524,150.3674092261905,69.93752465495926,23.55494357835064,0.1005838672890805,74.00497500706997,1620.098238095238,483.4618191842963,3799.168819515306,1446.1123986277169,-0.4373855561549336,-0.272884961789778,1.7058497486069315,-0.839497443838633,-1.5786757354062704,-1.758823694130548,4.094392837748501,-1.262697681989597,-0.4934308850177876,-1.749621831876628,-0.4155445739289971,-1.80003956949757,188.8,56.94,0.7870165745856352,200.0,56.94,0.7870165745856352,120.09666197934904,53872.32782045005,172010.05597771096,8529.626911480857,10.063682736653142,8139.175857264568,12164.449270137531,574.4543751022636,432.32400000000007,112676315.34,420153830.4678,985271.3902,oil
401.csv,niO,Tilt,11256.38962808392,0.0292305261494706,45871,0.0465321152928731,-0.8737390688057887,11256.367534510542,3583.184084330451,4445.946784399167,10.599481989057232,0.2810158366161973,34588722.710851766,214.72315126543995,1032.2786277922269,22903.58845934116,14340997042.40894,0.3186221190527624,9854511609740874.0,164761415159987.0,116085270017293.84,15149920102250.344,25448400.976590272,31941003.35423716,7897454.624974705,49.2968873439722,56.88102385842946,128.93032074577343,58.1354748603352,56431696.29359768,1.428719210880021,1.3370148654662302,235.3017006802721,17.949453656462584,0.0626368311063733,6425.399228528911,166.52687272015058,16.265340086649296,0.0498337769030589,6693.515258958348,503.4,44.18,0.2712737893348408,17559.19,514.2,43.4,0.2270114942528735,17469.442,-0.050269379603169,0.0925560846528904,0.7891192601980781,0.3401520623157645,-1.859366645760648,-1.8077000998137065,-0.0867803155768474,-1.7387338460600277,136.71413690476192,17.954483418367346,0.0627381424966238,145.14763775510204,70.31164258279537,16.259693919063707,0.0496850259706177,78.53803633472134,1583.1891394557824,491.2934895271002,3404.3462923044217,1423.6977438542838,-0.4490784477191855,0.0928939082918806,0.8035741842084047,-0.7556583674099648,-1.575391668953799,-1.807909286980728,-0.0857949828566382,-1.3879075731561774,-0.3405341416941639,-1.8795758595151488,0.1394704661631796,-1.887129042923376,189.2,43.4,0.2270114942528735,200.0,43.4,0.2270114942528735,190.434591846362,27598.554098007902,125925.65770004246,12010.47060454527,23.78065221100524,3361.996605009096,18054.28822275807,707.9193590709824,1607.0335999999995,27429181.03600001,539411864.4399999,2669291.1208,tilt
346.csv,niO,offset,9868.94951627931,0.0515531621461876,46140,0.056899298049435,-0.261400083572334,9868.835931400095,3515.632237081729,4248.534522514915,10.92349980189974,0.258038093684465,33096332.42748751,197.55999444233785,874.8582157037542,20105.22900509976,12452218022.340635,0.4106442547180134,1.0821130260884808e+16,316953047993945.5,128565423298303.31,24646292111884.83,27917020.221159063,19988501.729380928,26301212.724497046,28.370657384908387,56.741314769816775,135.54869639456228,11.194029850746269,75271834.35053462,2.036625038259596,4.873454010568875,235.3744793880153,17.6562749681258,0.0620743936955118,6277.269045473864,166.31221731764833,15.861977081671371,0.0514172296886682,6480.854365784903,442.3,41.940000000000005,0.2600313561536451,16204.250000000002,456.0,41.06,0.2191011235955056,16159.916,-0.0489896336701796,0.05466865227288,0.8729679842240301,0.3179999980732949,-1.8648512007282767,-1.8246045946237124,0.0847252303155228,-1.7636673702050976,136.82730556736084,17.659507012324692,0.0621599409559296,143.8686874203145,70.05961545415843,15.85830448766305,0.0512942348493489,79.9256271029172,1587.7759109647257,490.2726226996381,3409.838719507012,1421.8455282571229,-0.4419541982639902,0.0548846994366828,0.884765795374712,-0.7462074504517404,-1.587093771346283,-1.824756878032248,0.0877285061362571,-1.4102478206623783,-0.3606798135682528,-1.8654283678461845,0.1259225425355476,-1.8857625538400435,186.3,41.06,0.2191011235955056,200.0,41.06,0.2191011235955056,149.12658893496695,30053.621820510714,132734.7171643346,20214.46210659788,12.00833686376964,4249.786164431641,16186.169128837186,1028.2336072532285,554.9038000000002,36336710.101599984,528919511.4609001,7193029.897399999,offset
175.csv,iO,,11154.512329890596,0.0338082901554404,49341,0.1360254548207912,-0.6662003729601702,11154.078978379885,3346.0691829692228,4306.096373115316,10.744555995015157,0.2525410126932504,42174535.07046993,197.84077357803227,1020.3991796684132,22089.97572899219,17002634191.046623,0.2562961974200679,1.4441439788234524e+16,237160879082737.44,133842497412282.56,19358245798884.58,32445139.40018092,25999087.467768334,18463614.71801243,34.196891191709845,59.067357512953365,121.24352331606218,27.594339622641503,58181660.3494282,1.8134811872896903,2.3786527248413867,235.1781628747608,18.92975334892622,0.0683289763521416,6686.997376142888,166.50249544187818,16.63742107134174,0.0516764423291959,6894.963631880929,454.5,45.16,0.3434025784226734,17960.025,464.3,44.33,0.2638107416879795,17900.865,-0.0548590886697299,0.0527537816350805,0.67927579326173,0.3364791232156463,-1.865297182081008,-1.7732959577036076,-0.2347759139017839,-1.7308226464809142,136.6157346374655,18.93446310865405,0.0684878927647718,147.24878269189878,70.43573822271078,16.63195698898859,0.0514065532594556,75.58427987797927,1600.0546436317245,483.9544396875376,3424.5290829257924,1413.537620293068,-0.4496055187893769,0.0530997332215413,0.708638532493692,-0.7676616191570688,-1.5745415703695222,-1.773513038768809,-0.2536244352260501,-1.3480600350629464,-0.4245034287361038,-1.8071008427366289,0.1122644043570607,-1.8733050565130267,190.2,44.33,0.2638107416879795,200.0,44.33,0.2638107416879795,134.70970164168978,31730.548789743185,127384.1165870887,13259.697546153166,13.59877491196558,5167.962873965021,18441.099281474493,1103.0694234627867,527.1876,42296244.51079999,606969387.0214003,3620478.2480000006,ok
230.csv,iO,,11327.975379570082,0.046702932201141,48197,0.0447819821803521,-0.623438692125466,11327.91704349764,3174.6979203847927,4255.733893773934,10.68933358160541,0.2424889908349487,37442902.20500977,209.7147461012698,1004.1634176873148,23164.3708300883,16154232542.204807,0.2909046616042045,1.4210847648581742e+16,236040014394695.28,112522576437533.4,19679768055274.86,25021085.635200907,29107061.587047204,32177183.78783417,35.02719915085578,57.31723497412764,143.2930874353191,143.5546875,51604970.5079703,1.6753427163572665,2.0190519158337965,235.25013815090333,19.1134091392136,0.0704894170313361,6728.329091604675,166.32061648063777,16.55201710813791,0.0509699468815116,6876.8382910937935,467.3,44.870000000000005,0.3131283422459893,17741.572,479.5,43.99,0.2731283422459893,17689.84,-0.0511547490238262,0.0353535489466294,0.8687517116546422,0.3142714849970895,-1.867029858961449,-1.795870853842201,0.2826828939823826,-1.7546273585102112,136.73553666312432,19.116493092454835,0.0705637529060994,150.15029819341126,70.16234875241584,16.548384661134353,0.0508499872347966,71.74544084546189,1600.1116227417642,488.441694771562,3441.876452709884,1415.3789005301962,-0.4412306356286083,0.0355934007203893,0.882104818293639,-0.7775133334058479,-1.5888429535501365,-1.7960584664612402,0.2830413618294458,-1.3172367836091006,-0.4111274226557495,-1.827246465204347,0.0849390798313816,-1.88562936566752,187.8,43.99,0.2731283422459893,200.0,43.99,0.2731283422459893,149.32561394159242,30097.22038513916,126995.83551484908,16478.193693645837,13.9858218175906,4766.621842209866,16970.056927815614,1220.4083781567742,747.2480000000002,39272744.66379999,569579975.4096999,5906670.487600002,ok
225.csv,iO,,9698.428744041576,0.0497527349018432,46736,0.0779165861424303,0.047003047078562,9698.41494220977,3145.04938575819,4136.890931550264,11.050165642595406,0.2242856983676464,38836960.89333808,170.11381956120002,864.8202225134476,22314.57146151388,15833812319.908024,0.2745456820122351,1.836525503359561e+16,281785364968271.8,179343775628671.8,21163048317991.2,31719748.93161068,31300570.346338965,32652484.05579048,33.56811029521954,57.54533193466207,143.86332983665517,33.07231524249423,47369327.65298533,1.3227820882980796,0.916723521608524,234.3408788853162,18.217288317256163,0.0671936368081463,6369.40935841372,164.6855461382697,15.80748680011904,0.0542010253465527,6461.319605217183,457.5,42.720000000000006,0.4769980019980019,16837.956,469.2,41.84,0.4308441558441558,16754.579999999998,-0.0647497896389346,0.0122966410147587,1.4770863289712977,0.2947346679434823,-1.871844097372723,-1.816977914992016,3.9420263809761416,-1.7607972725594028,136.82707395498394,18.22260450160772,0.0673192942709014,148.49387609860665,70.05752370358697,15.80125299583143,0.0540171415723835,74.88834435505936,1594.6395502679527,488.6732233943813,3437.947108252948,1422.1324054207505,-0.4359372062422222,0.0126897397927636,1.5004781973361092,-0.7914690361674883,-1.586150263469048,-1.817298079986631,3.9921838682706574,-1.3170296313688274,-0.3903234426444333,-1.842641748393084,0.0923432508835897,-1.8898538917203336,188.3,41.84,0.4308441558441558,200.0,41.84,0.4308441558441558,129.02431531373963,32253.613293730363,116850.70859837308,13924.5495778914,11.956209354638345,4759.694750765478,16182.558764778963,1036.4254579368217,424.0999999999999,42134904.796,478916509.9907001,4168550.297,ok
209.csv,niO,offset,11103.84540644218,0.0362778780644034,49088,0.0628666769544808,-0.5223299397545529,11103.740013678052,2795.2352264130745,3875.673837115212,10.553016484079892,0.1957474378675544,46570916.93500703,179.69571942645402,1020.9436588712244,22185.74705911662,18853071984.23865,0.1977802442516455,1.7870165841223214e+16,223975837155718.4,76579462367439.02,10181650614674.148,34012763.82410973,40491628.76141509,15940396.349553049,30.745938391661333,58.696791474989816,125.77883887497818,56.62455934195064,60143261.50668539,1.845908101437238,2.340313041960634,236.8539532890508,18.221975573173346,0.0638910459155457,6515.555405185343,166.059842751778,16.096820060824317,0.0493402851437353,6652.844898252916,452.1,42.96,0.2651360195360195,16840.667999999998,462.9,42.08,0.2027428571428571,16754.579999999998,-0.0703103812896438,0.0272747002423455,0.7293901665057535,0.2819595085169347,-1.8670281856325373,-1.8365169436899969,-0.1653859576366909,-1.801720094632768,137.48986500964216,18.22904649667881,0.0640703955647678,146.6864326119563,69.93467549359345,16.08864933389277,0.0490505543940311,77.22531804447893,1589.4267013070496,488.48071279442377,3425.047355046068,1425.0501812725502,-0.4644133073344572,0.0277584681347018,0.7610250658576866,-0.7782477642101491,-1.5587392309906731,-1.836915155280014,-0.1770401768727088,-1.3567501614529731,-0.3721218435756783,-1.8541196763550305,0.1106513032507232,-1.89055794712582,189.2,42.08,0.2027428571428571,200.0,42.08,0.2027428571428571,126.23931612832976,29191.031679163232,114887.30176547376,12810.534961095893,16.37681999297489,4156.144479841157,16606.91199678167,775.8301564270752,632.796,34217919.19600002,492948670.5027,2849100.3304,offset
